date,interest_related_income,interest_loans_total,less_special_provisions_interest,interest_financial_sector,interest_securities,interest_other,interest_expense,interest_deposits,interest_time_deposits,interest_financial_sector_borrowed,interest_other_expense,net_interest_profit,non_interest_income,commission_account_services,fx_income_loss,securities_sale_income_loss,other_non_interest_income,non_interest_expenses,fixed_assets_costs,service_commission_costs,other_non_interest_expenses,operating_profit,loan_loss_provisions,other_income_expenses,profit_before_tax,profit_tax,net_profit
31.12.19,"1.922,2","1.421,6","44,0","278,1","170,9","51,6","547,9","372,4","343,1","100,5","75,0","1.330,3","723,7","186,7","168,5","(0,5)","369,1","1.205,0","237,4","180,7","786,9","849,0","177,3","21,3","693,0","156,0","536,9"
31.12.20,"1.920,5","1.519,5","59,9","194,2","171,1","35,8","492,5","312,9","292,2","96,8","82,9","1.368,1","672,1","171,1","156,8","2,4","341,8","1.236,5","238,0","203,6","794,9","803,7","71,0","0,6","733,3","165,5","567,8"
31.12.21,"2.107,0","1.708,1","31,1","137,7","233,9","27,2","538,4","362,3","349,5","96,9","79,3","1.537,5","876,0","226,4","157,8","(2,5)","494,3","1.470,7","264,4","317,3","889,0","942,8","168,9","0,8","774,6","165,6","609,0"
31.12.22,"2.738,8","2.194,4","40,5","202,7","275,1","66,6","657,8","459,0","418,7","122,2","76,6","2.040,6","1.216,0","321,3","286,3","(18,2)","626,6","1.885,2","303,4","492,4","1.089,4","1.371,4","195,5","0,1","1.176,0","261,5","914,5"
31.12.23,"3.492,9","2.573,8","44,8","351,3","432,3","135,5","839,4","596,0","499,5","146,5","96,9","2.608,7","1.368,2","355,8","247,9","(9,1)","773,7","2.335,7","337,1","736,6","1.262,0","1.641,2","259,3","2,7","1.384,6","308,2","1.076,4"
31.12.24,"3.969,8","3.105,9","35,0","287,6","429,3","146,9","1.214,7","905,4","779,4","196,5","112,9","2.720,1","1.715,7","404,5","272,7","3,1","1.035,4","2.772,6","385,5","931,6","1.455,5","1.663,2","328,9","4,3","1.338,6","294,3","1.044,3"
31.01.25,"377,2","294,9","25,8","20,9","46,9","14,6","134,2","100,8","47,2","20,0","13,4","217,2","166,6","32,3","27,7","0,4","106,2","261,3","31,5","83,8","146,0","122,5","27,9","0,0","94,7","23,7","71,0"
28.02.25,"752,6","593,4","8,8","41,2","89,9","28,1","262,8","197,6","171,6","39,7","25,5","481,0","305,1","63,0","52,8","0,8","188,6","510,9","64,6","168,5","277,8","275,2","52,2","0,0","223,0","43,6","179,4"
31.03.25,"1.134,9","897,8","19,3","62,5","132,5","42,1","399,0","298,9","259,9","59,8","40,3","716,5","420,8","91,4","72,3","1,1","256,0","734,6","100,8","241,7","392,1","402,7","88,0","0,3","315,0","61,7","253,3"
30.04.25,"1.533,5","1.206,8","21,6","86,9","183,4","56,5","541,5","392,5","308,5","84,6","64,5","970,4","592,3","139,2","98,6","2,1","352,4","998,3","133,4","336,8","528,1","564,4","134,9","0,4","429,9","90,1","339,8"
31.05.25,"1.956,0","1.540,7","29,8","108,3","230,4","76,6","695,1","498,6","395,7","113,6","82,8","1.231,2","745,4","168,3","117,6","2,4","457,2","1.268,4","172,9","434,6","660,9","708,2","168,9","0,4","539,7","109,0","430,7"
30.06.25,"2.374,3","1.869,4","33,6","137,5","278,0","89,4","853,7","608,1","481,1","136,0","109,6","1.486,9","900,6","202,9","135,8","2,7","559,2","1.506,6","206,6","516,3","783,6","881,0","170,8","0,5","710,7","134,1","576,6"
31.07.25,"2.814,1","2.212,8","3,9","172,8","326,3","102,2","1.020,5","717,4","569,2","161,7","141,4","1.789,7","1.074,0","243,9","156,8","4,1","669,2","1.777,8","245,4","619,3","913,2","1.085,9","238,1","0,6","848,5","165,7","682,8"
31.08.25,"3.237,7","2.544,7","45,1","205,8","371,7","115,5","1.176,6","827,5","658,4","184,8","164,4","2.016,0","1.216,3","280,3","180,3","4,4","751,3","2.044,9","281,3","712,3","1.051,3","1.187,5","225,9","0,6","962,2","187,9","774,3"
30.09.25,"3.666,8","2.887,0","43,7","238,6","417,5","123,6","1.341,1","938,1","739,5","216,2","186,8","2.281,9","1.378,8","318,4","201,3","3,6","855,6","2.287,6","317,0","787,7","1.182,9","1.373,2","248,1","0,2","1.125,2","214,5","910,7"
31.10.25,"4.105,6","3.234,6","45,4","270,3","463,1","137,6","1.507,9","1.052,8","829,3","242,9","212,2","2.552,2","1.539,4","359,3","224,0","3,8","952,3","2.561,9","354,7","881,2","1.326,0","1.529,7","301,2","(0,1)","1.228,5","241,6","986,8"
30.11.25,"4.554,2","3.585,1","50,2","305,3","505,9","157,9","1.676,2","1.164,2","918,9","272,6","239,4","2.827,7","1.669,3","383,2","246,2","4,1","1.035,9","2.845,5","388,9","984,8","1.471,8","1.651,6","326,9","(0,3)","1.324,4","265,5","1.058,9"
31.12.25,"5.001,0","3.946,6","47,4","343,7","546,4","164,2","1.847,9","1.282,0","1.003,3","302,6","263,3","3.105,7","1.970,1","444,5","279,4","6,1","1.240,1","3.213,8","415,3","1.115,7","1.682,8","1.862,0","383,3","(0,2)","1.478,4","316,8","1.161,6"
31.01.26,"446,6","356,3","8,9","33,5","45,6","11,2","165,7","117,7","95,4","33,1","14,9","271,9","140,6","33,3","21,3","0,1","86,0","257,6","32,4","90,5","134,7","155,0","42,4","0,1","112,7","32,5","80,1"